Date,TempC
6/29/2025 13:00,17.855
6/29/2025 13:15,17.76
6/29/2025 13:30,17.665
6/29/2025 13:45,17.57
6/29/2025 14:00,17.475
6/29/2025 14:15,17.379
6/29/2025 14:30,17.57
6/29/2025 14:45,18.236
6/29/2025 15:00,18.711
6/29/2025 15:15,19.377
6/29/2025 15:30,20.519
6/29/2025 15:45,21.951
6/29/2025 16:00,23.292
6/29/2025 16:15,22.908
6/29/2025 16:30,23.773
6/29/2025 16:45,24.738
6/29/2025 17:00,24.255
6/29/2025 17:15,22.717
6/29/2025 17:30,22.333
6/29/2025 17:45,21.76
6/29/2025 18:00,20.615
6/29/2025 18:15,21.951
6/29/2025 18:30,21.855
6/29/2025 18:45,21.282
6/29/2025 19:00,21.76
6/29/2025 19:15,20.901
6/29/2025 19:30,20.234
6/29/2025 19:45,20.043
6/29/2025 20:00,19.662
6/29/2025 20:15,19.187
6/29/2025 20:30,18.901
6/29/2025 20:45,18.711
6/29/2025 21:00,18.521
6/29/2025 21:15,18.331
6/29/2025 21:30,18.236
6/29/2025 21:45,18.14
6/29/2025 22:00,17.95
6/29/2025 22:15,17.95
6/29/2025 22:30,17.855
6/29/2025 22:45,17.76
6/29/2025 23:00,17.76
6/29/2025 23:15,17.76
6/29/2025 23:30,17.57
6/29/2025 23:45,17.284
6/30/2025 0:00,17.284
6/30/2025 0:15,17.284
6/30/2025 0:30,17.284
6/30/2025 0:45,17.284
6/30/2025 1:00,17.284
6/30/2025 1:15,17.189
6/30/2025 1:30,17.189
6/30/2025 1:45,17.189
6/30/2025 2:00,17.094
6/30/2025 2:15,16.999
6/30/2025 2:30,17.094
6/30/2025 2:45,17.094
6/30/2025 3:00,17.189
6/30/2025 3:15,17.189
6/30/2025 3:30,17.189
6/30/2025 3:45,17.189
6/30/2025 4:00,17.189
6/30/2025 4:15,17.189
6/30/2025 4:30,17.189
6/30/2025 4:45,16.999
6/30/2025 5:00,16.618
6/30/2025 5:15,16.523
6/30/2025 5:30,16.523
6/30/2025 5:45,16.523
6/30/2025 6:00,16.523
6/30/2025 6:15,16.618
6/30/2025 6:30,16.903
6/30/2025 6:45,17.475
6/30/2025 7:00,17.475
6/30/2025 7:15,17.76
6/30/2025 7:30,18.331
6/30/2025 7:45,18.616
6/30/2025 8:00,18.806
6/30/2025 8:15,18.711
6/30/2025 8:30,18.901
6/30/2025 8:45,18.711
6/30/2025 9:00,18.901
6/30/2025 9:15,19.092
6/30/2025 9:30,19.567
6/30/2025 9:45,20.043
6/30/2025 10:00,20.329
6/30/2025 10:15,20.234
6/30/2025 10:30,20.71
6/30/2025 10:45,20.519
6/30/2025 11:00,20.805
6/30/2025 11:15,21.091
6/30/2025 11:30,21.282
6/30/2025 11:45,21.664
6/30/2025 12:00,22.238
6/30/2025 12:15,21.951
6/30/2025 12:30,20.805
6/30/2025 12:45,18.236
6/30/2025 13:00,18.045
6/30/2025 13:15,18.236
6/30/2025 13:30,18.426
6/30/2025 13:45,18.426
6/30/2025 14:00,18.236
6/30/2025 14:15,18.331
6/30/2025 14:30,18.521
6/30/2025 14:45,18.616
6/30/2025 15:00,18.711
6/30/2025 15:15,19.377
6/30/2025 15:30,19.377
6/30/2025 15:45,20.043
6/30/2025 16:00,21.187
6/30/2025 16:15,22.717
6/30/2025 16:30,22.429
6/30/2025 16:45,24.062
6/30/2025 17:00,25.125
6/30/2025 17:15,24.835
6/30/2025 17:30,22.238
6/30/2025 17:45,20.234
6/30/2025 18:00,21.378
6/30/2025 18:15,19.948
6/30/2025 18:30,19.377
