Model:	LI-7810
SN:	TG10-01881
Software Version:	2.3.8
Timestamp:	2025-06-12 09:07:51
Timezone:	Etc/Greenwich
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1749719369	983836889	405	256	""	2025-06-12	09:09:29	nan	nan	nan	102.489	24.2534	102.545	33.2372	0	0	24.467	-16000	0	16.0144	123
DATA	1749719370	983836889	409	256	""	2025-06-12	09:09:30	nan	nan	nan	102.49	24.2705	102.544	33.2378	0	0	24.4881	-16000	0	16.0113	108
DATA	1749719371	983836889	413	256	""	2025-06-12	09:09:31	nan	nan	nan	102.488	24.2872	102.544	33.2378	0	0	24.5101	-16000	0	16.0105	152
DATA	1749719372	983836889	417	256	""	2025-06-12	09:09:32	nan	nan	nan	102.489	24.305	102.545	33.2378	0	0	24.5323	-16000	0	16.0105	107
DATA	1749719373	983541011	421	256	""	2025-06-12	09:09:33	nan	nan	nan	102.488	24.3231	102.544	33.2383	0	0	24.5544	-16000	0	16.0089	133
DATA	1749719374	983541011	425	256	""	2025-06-12	09:09:34	nan	nan	nan	102.488	24.3416	102.544	33.2387	0	0	24.5766	-16000	0	16.0085	150
DATA	1749719375	983541011	429	256	""	2025-06-12	09:09:35	nan	nan	nan	102.488	24.359	102.543	33.2387	0	0	24.5987	-16000	0	16.0078	117
DATA	1749719376	983541011	433	256	""	2025-06-12	09:09:36	nan	nan	nan	102.487	24.3764	102.542	33.2387	0	0	24.6209	-16000	0	16.0074	147
DATA	1749719377	983541011	437	256	""	2025-06-12	09:09:37	nan	nan	nan	102.488	24.394	102.542	33.2393	0	0	24.643	-16000	0	16.0066	 48
DATA	1749719378	983541011	441	256	""	2025-06-12	09:09:38	nan	nan	nan	102.487	24.4112	102.542	33.2395	0	0	24.6651	-16000	0	16.0062	135
DATA	1749719379	983541011	445	256	""	2025-06-12	09:09:39	nan	nan	nan	102.487	24.4274	102.542	33.2395	0	0	24.6861	-16000	0	16.007	104
DATA	1749719380	983541011	449	256	""	2025-06-12	09:09:40	nan	nan	nan	102.487	24.4447	102.541	33.2397	0	0	24.7082	-16000	0	16.0066	144
DATA	1749719381	983253002	453	256	""	2025-06-12	09:09:41	nan	nan	nan	102.487	24.4619	102.541	33.2403	0	0	24.7301	-16000	0	16.0054	121
DATA	1749719382	983253002	457	256	""	2025-06-12	09:09:42	nan	nan	nan	102.486	24.4794	102.541	33.2403	0	0	24.7522	-16000	0	16.005	 83
